TransacaoID,Data,Canal,Categoria,ValorTotal,Itens
1,2025-02-02,Loja Fisica,Notebooks,57.35,2
2,2025-03-03,Marketplace,Perifericos,64.7,3
3,2025-04-04,App Mobile,Monitores,72.05,4
4,2025-05-05,Televendas,Audio,79.4,5
5,2025-06-06,E-commerce,Smartphones,86.75,6
6,2025-07-07,Loja Fisica,Notebooks,94.1,7
7,2025-08-08,Marketplace,Perifericos,101.45,8
8,2025-09-09,App Mobile,Monitores,108.8,1
9,2025-10-10,Televendas,Audio,116.15,2
10,2025-11-11,E-commerce,Smartphones,123.5,3
11,2025-12-12,Loja Fisica,Notebooks,130.85,4
12,2025-01-13,Marketplace,Perifericos,138.2,5
13,2025-02-14,App Mobile,Monitores,145.55,6
14,2025-03-15,Televendas,Audio,152.9,7
15,2025-04-16,E-commerce,Smartphones,160.25,8
16,2025-05-17,Loja Fisica,Notebooks,167.6,1
17,2025-06-18,Marketplace,Perifericos,174.95,2
18,2025-07-19,App Mobile,Monitores,182.3,3
19,2025-08-20,Televendas,Audio,189.65,4
20,2025-09-21,E-commerce,Smartphones,197.0,5
21,2025-10-22,Loja Fisica,Notebooks,204.35,6
22,2025-11-23,Marketplace,Perifericos,211.7,7
23,2025-12-24,App Mobile,Monitores,219.05,8
24,2025-01-25,Televendas,Audio,226.4,1
25,2025-02-26,E-commerce,Smartphones,233.75,2
26,2025-03-27,Loja Fisica,Notebooks,241.1,3
27,2025-04-28,Marketplace,Perifericos,248.45,4
28,2025-05-01,App Mobile,Monitores,255.8,5
29,2025-06-02,Televendas,Audio,263.15,6
30,2025-07-03,E-commerce,Smartphones,270.5,7
31,2025-08-04,Loja Fisica,Notebooks,277.85,8
32,2025-09-05,Marketplace,Perifericos,285.2,1
33,2025-10-06,App Mobile,Monitores,292.55,2
34,2025-11-07,Televendas,Audio,299.9,3
35,2025-12-08,E-commerce,Smartphones,307.25,4
36,2025-01-09,Loja Fisica,Notebooks,314.6,5
37,2025-02-10,Marketplace,Perifericos,321.95,6
38,2025-03-11,App Mobile,Monitores,329.3,7
39,2025-04-12,Televendas,Audio,336.65,8
40,2025-05-13,E-commerce,Smartphones,344.0,1
41,2025-06-14,Loja Fisica,Notebooks,351.35,2
42,2025-07-15,Marketplace,Perifericos,358.7,3
43,2025-08-16,App Mobile,Monitores,366.05,4
44,2025-09-17,Televendas,Audio,373.4,5
45,2025-10-18,E-commerce,Smartphones,380.75,6
46,2025-11-19,Loja Fisica,Notebooks,388.1,7
47,2025-12-20,Marketplace,Perifericos,395.45,8
48,2025-01-21,App Mobile,Monitores,402.8,1
49,2025-02-22,Televendas,Audio,410.15,2
50,2025-03-23,E-commerce,Smartphones,417.5,3
51,2025-04-24,Loja Fisica,Notebooks,424.85,4
52,2025-05-25,Marketplace,Perifericos,432.2,5
53,2025-06-26,App Mobile,Monitores,439.55,6
54,2025-07-27,Televendas,Audio,446.9,7
55,2025-08-28,E-commerce,Smartphones,454.25,8
56,2025-09-01,Loja Fisica,Notebooks,461.6,1
57,2025-10-02,Marketplace,Perifericos,468.95,2
58,2025-11-03,App Mobile,Monitores,476.3,3
59,2025-12-04,Televendas,Audio,483.65,4
60,2025-01-05,E-commerce,Smartphones,491.0,5
61,2025-02-06,Loja Fisica,Notebooks,498.35,6
62,2025-03-07,Marketplace,Perifericos,505.7,7
63,2025-04-08,App Mobile,Monitores,513.05,8
64,2025-05-09,Televendas,Audio,520.4,1
65,2025-06-10,E-commerce,Smartphones,527.75,2
66,2025-07-11,Loja Fisica,Notebooks,535.1,3
67,2025-08-12,Marketplace,Perifericos,542.45,4
68,2025-09-13,App Mobile,Monitores,549.8,5
69,2025-10-14,Televendas,Audio,557.15,6
70,2025-11-15,E-commerce,Smartphones,564.5,7
71,2025-12-16,Loja Fisica,Notebooks,571.85,8
72,2025-01-17,Marketplace,Perifericos,579.2,1
73,2025-02-18,App Mobile,Monitores,586.55,2
74,2025-03-19,Televendas,Audio,593.9,3
75,2025-04-20,E-commerce,Smartphones,601.25,4
76,2025-05-21,Loja Fisica,Notebooks,608.6,5
77,2025-06-22,Marketplace,Perifericos,615.95,6
78,2025-07-23,App Mobile,Monitores,623.3,7
79,2025-08-24,Televendas,Audio,630.65,8
80,2025-09-25,E-commerce,Smartphones,638.0,1
81,2025-10-26,Loja Fisica,Notebooks,645.35,2
82,2025-11-27,Marketplace,Perifericos,652.7,3
83,2025-12-28,App Mobile,Monitores,660.05,4
84,2025-01-01,Televendas,Audio,667.4,5
85,2025-02-02,E-commerce,Smartphones,674.75,6
86,2025-03-03,Loja Fisica,Notebooks,682.1,7
87,2025-04-04,Marketplace,Perifericos,689.45,8
88,2025-05-05,App Mobile,Monitores,696.8,1
89,2025-06-06,Televendas,Audio,704.15,2
90,2025-07-07,E-commerce,Smartphones,711.5,3
91,2025-08-08,Loja Fisica,Notebooks,718.85,4
92,2025-09-09,Marketplace,Perifericos,726.2,5
93,2025-10-10,App Mobile,Monitores,733.55,6
94,2025-11-11,Televendas,Audio,740.9,7
95,2025-12-12,E-commerce,Smartphones,748.25,8
96,2025-01-13,Loja Fisica,Notebooks,755.6,1
97,2025-02-14,Marketplace,Perifericos,762.95,2
98,2025-03-15,App Mobile,Monitores,770.3,3
99,2025-04-16,Televendas,Audio,777.65,4
100,2025-05-17,E-commerce,Smartphones,785.0,5
101,2025-06-18,Loja Fisica,Notebooks,792.35,6
102,2025-07-19,Marketplace,Perifericos,799.7,7
103,2025-08-20,App Mobile,Monitores,807.05,8
104,2025-09-21,Televendas,Audio,814.4,1
105,2025-10-22,E-commerce,Smartphones,821.75,2
106,2025-11-23,Loja Fisica,Notebooks,829.1,3
107,2025-12-24,Marketplace,Perifericos,836.45,4
108,2025-01-25,App Mobile,Monitores,843.8,5
109,2025-02-26,Televendas,Audio,851.15,6
110,2025-03-27,E-commerce,Smartphones,858.5,7
111,2025-04-28,Loja Fisica,Notebooks,865.85,8
112,2025-05-01,Marketplace,Perifericos,873.2,1
113,2025-06-02,App Mobile,Monitores,880.55,2
114,2025-07-03,Televendas,Audio,887.9,3
115,2025-08-04,E-commerce,Smartphones,895.25,4
116,2025-09-05,Loja Fisica,Notebooks,902.6,5
117,2025-10-06,Marketplace,Perifericos,909.95,6
118,2025-11-07,App Mobile,Monitores,917.3,7
119,2025-12-08,Televendas,Audio,924.65,8
120,2025-01-09,E-commerce,Smartphones,932.0,1
121,2025-02-10,Loja Fisica,Notebooks,939.35,2
122,2025-03-11,Marketplace,Perifericos,946.7,3
123,2025-04-12,App Mobile,Monitores,954.05,4
124,2025-05-13,Televendas,Audio,961.4,5
125,2025-06-14,E-commerce,Smartphones,968.75,6
126,2025-07-15,Loja Fisica,Notebooks,976.1,7
127,2025-08-16,Marketplace,Perifericos,983.45,8
128,2025-09-17,App Mobile,Monitores,990.8,1
129,2025-10-18,Televendas,Audio,998.15,2
130,2025-11-19,E-commerce,Smartphones,1005.5,3
131,2025-12-20,Loja Fisica,Notebooks,1012.85,4
132,2025-01-21,Marketplace,Perifericos,1020.2,5
133,2025-02-22,App Mobile,Monitores,1027.55,6
134,2025-03-23,Televendas,Audio,1034.9,7
135,2025-04-24,E-commerce,Smartphones,1042.25,8
136,2025-05-25,Loja Fisica,Notebooks,1049.6,1
137,2025-06-26,Marketplace,Perifericos,1056.95,2
138,2025-07-27,App Mobile,Monitores,1064.3,3
139,2025-08-28,Televendas,Audio,1071.65,4
140,2025-09-01,E-commerce,Smartphones,1079.0,5
141,2025-10-02,Loja Fisica,Notebooks,1086.35,6
142,2025-11-03,Marketplace,Perifericos,1093.7,7
143,2025-12-04,App Mobile,Monitores,1101.05,8
144,2025-01-05,Televendas,Audio,1108.4,1
145,2025-02-06,E-commerce,Smartphones,1115.75,2
146,2025-03-07,Loja Fisica,Notebooks,1123.1,3
147,2025-04-08,Marketplace,Perifericos,1130.45,4
148,2025-05-09,App Mobile,Monitores,1137.8,5
149,2025-06-10,Televendas,Audio,1145.15,6
150,2025-07-11,E-commerce,Smartphones,1152.5,7
151,2025-08-12,Loja Fisica,Notebooks,1159.85,8
152,2025-09-13,Marketplace,Perifericos,1167.2,1
153,2025-10-14,App Mobile,Monitores,1174.55,2
154,2025-11-15,Televendas,Audio,1181.9,3
155,2025-12-16,E-commerce,Smartphones,1189.25,4
156,2025-01-17,Loja Fisica,Notebooks,1196.6,5
157,2025-02-18,Marketplace,Perifericos,1203.95,6
158,2025-03-19,App Mobile,Monitores,1211.3,7
159,2025-04-20,Televendas,Audio,1218.65,8
160,2025-05-21,E-commerce,Smartphones,1226.0,1
161,2025-06-22,Loja Fisica,Notebooks,1233.35,2
162,2025-07-23,Marketplace,Perifericos,1240.7,3
163,2025-08-24,App Mobile,Monitores,1248.05,4
164,2025-09-25,Televendas,Audio,1255.4,5
165,2025-10-26,E-commerce,Smartphones,1262.75,6
166,2025-11-27,Loja Fisica,Notebooks,1270.1,7
167,2025-12-28,Marketplace,Perifericos,1277.45,8
168,2025-01-01,App Mobile,Monitores,1284.8,1
169,2025-02-02,Televendas,Audio,1292.15,2
170,2025-03-03,E-commerce,Smartphones,1299.5,3
171,2025-04-04,Loja Fisica,Notebooks,1306.85,4
172,2025-05-05,Marketplace,Perifericos,1314.2,5
173,2025-06-06,App Mobile,Monitores,1321.55,6
174,2025-07-07,Televendas,Audio,1328.9,7
175,2025-08-08,E-commerce,Smartphones,1336.25,8
176,2025-09-09,Loja Fisica,Notebooks,1343.6,1
177,2025-10-10,Marketplace,Perifericos,1350.95,2
178,2025-11-11,App Mobile,Monitores,1358.3,3
179,2025-12-12,Televendas,Audio,1365.65,4
180,2025-01-13,E-commerce,Smartphones,1373.0,5
181,2025-02-14,Loja Fisica,Notebooks,1380.35,6
182,2025-03-15,Marketplace,Perifericos,1387.7,7
183,2025-04-16,App Mobile,Monitores,1395.05,8
184,2025-05-17,Televendas,Audio,1402.4,1
185,2025-06-18,E-commerce,Smartphones,1409.75,2
186,2025-07-19,Loja Fisica,Notebooks,1417.1,3
187,2025-08-20,Marketplace,Perifericos,1424.45,4
188,2025-09-21,App Mobile,Monitores,1431.8,5
189,2025-10-22,Televendas,Audio,1439.15,6
190,2025-11-23,E-commerce,Smartphones,1446.5,7
191,2025-12-24,Loja Fisica,Notebooks,1453.85,8
192,2025-01-25,Marketplace,Perifericos,1461.2,1
193,2025-02-26,App Mobile,Monitores,1468.55,2
194,2025-03-27,Televendas,Audio,1475.9,3
